HDDSN,ENDDATE,STARTDATE,PROCID,MTYPE,MFGID,PFCODE,PFSUBCODE,HSATRIAL,HDDTRIAL,PARTID,PARTFLAG,ASMLINE,ASMTEAM,TESTERID,CELLID,TESTPGMVER,FAILEDHEAD,HDDCYCLE,RWKDISP,RWKDEPTH_MAX,RWKDEPTH_CUR,HSASN,DISKSETID,HDEPARTSETID,HDDPARTSETID,STORETS,DayDifference,TestTime
1EJX9NKJ    ,2015-10-26 08:37:41,2015-10-13 18:22:45,6600,AR6E,AR3105    ,TSCX,00000000,0000,A1JF,101010A0A0D2D2    10,   0  0,LI,16,X435,053401,ARHS36AC,00000000,1,XN,0,0,M505ZCH5    ,1,2,1,2015-10-26 09:04:11,13,302.249
1EJX9NEJ    ,2015-10-20 07:33:47,2015-10-13 16:39:08,6600,AR6E,AR3105    ,TSCX,00000000,0000,A1JF,101010A0A0D2D2    10,   0  0,LI,16,X43C,196900,ARHS36AC,00000000,1,XN,0,0,M505ZCT5    ,1,2,1,2015-10-20 08:10:13,7,158.911
1EJX9N3J    ,2015-10-20 10:45:22,2015-10-13 18:28:44,6600,AR6E,AR3105    ,TSCX,00000000,0000,A1JF,101010A0A0A2D2    10,   0  0,LI,16,X437,234201,ARHS36AC,00000000,1,XN,0,0,M5064VC3    ,1,2,1,2015-10-20 11:35:16,7,160.277
1EJX9N1J    ,2015-10-20 12:01:28,2015-10-13 18:18:54,6600,AR6E,AR3105    ,TSCX,00000000,0000,A1JF,101010A0A0A2D2    10,   0  0,LI,16,X435,032600,ARHS36AC,00000000,1,XN,0,0,M5064VA9    ,1,2,1,2015-10-20 12:30:19,7,161.709
1EJX8KMJ    ,2015-10-20 08:34:48,2015-10-13 16:43:10,6600,AR6E,AR3105    ,TSCX,00000000,0000,A1JF,101010A0A0D2D2    10,   0  0,LF,58,X43B,027200,ARHS36AC,00000000,1,XN,0,0,M505SV96    ,1,2,1,2015-10-20 09:05:20,7,159.860
1EJX8KJJ    ,2015-10-20 10:25:34,2015-10-13 16:44:01,6600,AR6E,AR3105    ,TSCX,00000000,0000,A1JF,101010A0A0D2D2    10,   0  0,LF,58,X43A,015900,ARHS36AC,00000000,1,XN,0,0,M505WPP0    ,1,2,1,2015-10-20 11:05:16,7,161.692
1EJX8JXJ    ,2015-10-20 10:01:28,2015-10-13 18:05:45,6600,AR6E,AR3105    ,TSCX,00000000,0000,A1JF,101010A0A0D2D2    10,   0  0,LF,58,X437,214201,ARHS36AC,00000000,1,XN,0,0,M505WP21    ,1,2,1,2015-10-20 10:35:18,7,159.928
1EJX8JVJ    ,2015-10-20 11:40:51,2015-10-13 18:28:44,6600,AR6E,AR3105    ,TSCX,00000000,0000,A1JF,101010A0A0D2D2    10,   0  0,LF,58,X437,234200,ARHS36AC,00000000,1,XN,0,0,M505ZD69    ,1,2,1,2015-10-20 12:05:18,7,161.202
1EJX8JUJ    ,2015-10-26 10:01:19,2015-10-13 18:15:46,6600,AR6E,AR3105    ,TSCX,00000000,0000,A1JF,101010A0A0D2D2    10,   0  0,LF,58,X434,021500,ARHS36AC,00000000,1,XN,0,0,M50672L0    ,1,2,1,2015-10-26 10:28:48,13,303.759
1EJX8JTJ    ,2015-10-26 10:13:58,2015-10-13 18:24:45,6600,AR6E,AR3105    ,TSCX,00000000,0000,A1JF,101010A0A0D2D2    10,   0  0,LF,58,X436,022500,ARHS36AC,00000000,1,XN,0,0,M505X556    ,1,2,1,2015-10-26 11:03:46,13,303.820
